"","Stability_max_k","Quality_max_k","Global_optimal_k"
"ANOnto","3","3","3"
"AROnto","3","3","3"
"CBOOnto","3","3","3"
"CBOOnto2","3","3","3"
"CROnto","8","3","3"
"DITOnto","3","14","3"
"INROnto","3","3","3"
"LCOMOnto","5","3","3"
"NACOnto","3","10","10"
"NOCOnto","4","3","3"
"NOMOnto","3","3","3"
"POnto","5","4","4"
"PROnto","3","11","3"
"RFCOnto","3","3","3"
"RROnto","3","11","3"
"TMOnto","6","8","8"
"TMOnto2","4","3","3"
"WMCOnto","3","3","3"
"WMCOnto2","6","4","4"
