issn;impact_factor
IEEE T PATTERN ANAL;17.861
INFORM FUSION;13.669
IEEE T EVOLUT COMPUT;11.169
MED IMAGE ANAL;11.148
IEEE T CYBERNETICS;11.079
INT J INTELL SYST;10.312
IEEE T FUZZY SYST;9.518
IEEE T IMAGE PROCESS;9.34
IEEE COMPUT INTELL M;9.083
IEEE T NEUR NET LEAR;8.793
IEEE T AFFECT COMPUT;7.512
PATTERN RECOGN;7.196
SWARM EVOL COMPUT;6.912
ARTIF INTELL;6.628
KNOWL-BASED SYST;5.921
ARTIF INTELL REV;5.747
INT J COMPUT VISION;5.698
INT J NEURAL SYST;5.604
NEURAL NETWORKS;5.535
APPL SOFT COMPUT;5.472
EXPERT SYST APPL;5.452
IEEE T KNOWL DATA EN;4.935
NEURAL COMPUT APPL;4.774
DECIS SUPPORT SYST;4.721
INTEGR COMPUT-AID E;4.706
J AMB INTEL HUM COMP;4.594
WIRES DATA MIN KNOWL;4.476
NEUROCOMPUTING;4.438
INT J FUZZY SYST;4.406
ARTIF INTELL MED;4.383
FUZZY OPTIM DECIS MA;4.319
J INTELL MANUF;4.311
ENG APPL ARTIF INTEL;4.201
EVOL COMPUT;3.933
ADV ENG INFORM;3.879
MEMET COMPUT;3.86
COMPLEX INTELL SYST;3.791
INT J MACH LEARN CYB;3.753
AUTON ROBOT;3.602
J MACH LEARN RES;3.484
IEEE T HUM-MACH SYST;3.374
APPL INTELL;3.325
PATTERN RECOGN LETT;3.255
IEEE INTELL SYST;3.21
SEMANT WEB;3.182
COMPUT VIS IMAGE UND;3.121
EGYPT INFORM J;3.119
IMAGE VISION COMPUT;3.103
PEERJ COMPUT SCI;3.091
SOFT COMPUT;3.05
KNOWL INF SYST;2.936
CHEMOMETR INTELL LAB;2.895
NEURAL PROCESS LETT;2.891
ROBOT AUTON SYST;2.825
INT J APPROX REASON;2.678
BIG DATA RES;2.673
ACM T INTEL SYST TEC;2.672
MACH LEARN;2.672
IEEE T COGN DEV SYST;2.667
DATA MIN KNOWL DISC;2.629
FRONT NEUROROBOTICS;2.574
INT J INTERACT MULTI;2.561
SWARM INTELL-US;2.556
COMPUT LINGUIST;2.51
NEURAL COMPUT;2.505
J ARTIF INTELL RES;2.441
SIAM J IMAGING SCI;2.313
J INTELL ROBOT SYST;2.259
J WEB SEMANT;2.238
COMPUT SPEECH LANG;2.116
J EXP THEOR ARTIF IN;2.039
IET IMAGE PROCESS;1.995
J REAL-TIME IMAGE PR;1.968
INT J BIO-INSPIR COM;1.914
COGN SYST RES;1.902
INT J INF TECH DECIS;1.894
IEEE T GAMES;1.886
MIND MACH;1.855
J INTELL FUZZY SYST;1.851
INT J COMPUT INT SYS;1.838
IET BIOMETRICS;1.821
J INTELL INF SYST;1.813
GENET PROGRAM EVOL M;1.781
ACM T AUTON ADAP SYS;1.775
INT J SEMANT WEB INF;1.742
J CHEMOMETR;1.633
ACM T INTERACT INTEL;1.63
AI MAG;1.627
MACH VISION APPL;1.605
J AMB INTEL SMART EN;1.595
IEEE T COMP INTEL AI;1.588
J HEURISTICS;1.577
EXPERT SYST;1.546
TRAIT SIGNAL;1.541
IET COMPUT VIS;1.516
PATTERN ANAL APPL;1.512
J MULTIMODAL USER IN;1.511
NAT COMPUT;1.495
INT J DOC ANAL RECOG;1.486
DATA KNOWL ENG;1.476
NAT LANG ENG;1.465
J AUTOM REASONING;1.431
ACM T ASIAN LOW-RESO;1.42
STAT ANAL DATA MIN;1.396
INT J PATTERN RECOGN;1.375
INT J UNCERTAIN FUZZ;1.375
J MATH IMAGING VIS;1.353
AUTON AGENT MULTI-AG;1.342
INTELL AUTOM SOFT CO;1.276
KNOWL ENG REV;1.257
COMPUT INTELL-US;1.196
ARTIF LIFE;1.186
APPL ARTIF INTELL;1.172
CONSTRAINTS;1.167
AI EDAM;1.119
ADV ELECTR COMPUT EN;1.102
CONNECT SCI;1.042
AI COMMUN;1
INT J AP MAT COM-POL;0.967
ADAPT BEHAV;0.929
INF TECHNOL CONTROL;0.905
INT J SOFTW ENG KNOW;0.886
APPL ONTOL;0.852
ANN MATH ARTIF INTEL;0.778
MALAYS J COMPUT SCI;0.723
J MULT-VALUED LOG S;0.703
INT J ARTIF INTELL T;0.689
TURK J ELECTR ENG CO;0.682
INTELL DATA ANAL;0.651
NEURAL NETW WORLD;0.635
BIOL INSPIR COGN ARC;0.613
J COMPUT SYS SC INT+;0.538
NETWORK-COMP NEURAL;0.5
COMPUT INFORM;0.496
INT ARAB J INF TECHN;0.467
J LOGIC LANG INFORM;0.44
