issn;impact_factor
JOURNAL OF MANUFACTURING SYSTEMS;8.633
INTERNATIONAL JOURNAL OF PRODUCTION RESEARCH;8.568
INTERNATIONAL JOURNAL OF PRODUCTION ECONOMICS;7.885
M&SOM-Manufacturing & Service Operations Management;7.600
OMEGA-INTERNATIONAL JOURNAL OF MANAGEMENT SCIENCE;7.084
PRODUCTION PLANNING & CONTROL;7.044
JOURNAL OF OPERATIONS MANAGEMENT;6.970
EXPERT SYSTEMS WITH APPLICATIONS;6.954
TRANSPORTATION RESEARCH PART E-LOGISTICS AND TRANSPORTATION REVIEW;6.875
TECHNOVATION;6.606
RELIABILITY ENGINEERING & SYSTEM SAFETY;6.188
Memetic Computing;5.900
DECISION SUPPORT SYSTEMS;5.795
TRANSPORTATION RESEARCH PART B-METHODOLOGICAL;5.596
EUROPEAN JOURNAL OF OPERATIONAL RESEARCH;5.334
NETWORKS;5.059
PRODUCTION AND OPERATIONS MANAGEMENT;4.965
SOCIO-ECONOMIC PLANNING SCIENCES;4.923
MANAGEMENT SCIENCE;4.883
SAFETY SCIENCE;4.877
ANNALS OF OPERATIONS RESEARCH;4.854
International Transactions in Operational Research;4.193
Fuzzy Optimization and Decision Making;4.128
TRANSPORTATION SCIENCE;4.117
COMPUTERS & OPERATIONS RESEARCH;4.008
MATHEMATICAL PROGRAMMING;3.995
JOURNAL OF QUALITY TECHNOLOGY;3.946
IEEE Systems Journal;3.931
OPERATIONS RESEARCH;3.310
ENGINEERING OPTIMIZATION;3.230
INTERNATIONAL JOURNAL OF COMPUTER INTEGRATED MANUFACTURING;3.205
Quality Technology and Quantitative Management;3.134
QUALITY AND RELIABILITY ENGINEERING INTERNATIONAL;2.885
JOURNAL OF THE OPERATIONAL RESEARCH SOCIETY;2.860
SYSTEMS & CONTROL LETTERS;2.804
OPTIMIZATION AND ENGINEERING;2.760
IISE Transactions;2.681
Flexible Services and Manufacturing Journal;2.603
NETWORKS & SPATIAL ECONOMICS;2.538
OPTIMAL CONTROL APPLICATIONS & METHODS;2.530
International Journal of Industrial Engineering Computations;2.455
Operational Research;2.410
OPTIMIZATION;2.360
Central European Journal of Operations Research;2.345
INTERNATIONAL JOURNAL OF SYSTEMS SCIENCE;2.281
INFORMS JOURNAL ON COMPUTING;2.276
JOURNAL OF OPTIMIZATION THEORY AND APPLICATIONS;2.249
INTERNATIONAL JOURNAL OF INFORMATION TECHNOLOGY & DECISION MAKING;2.220
JOURNAL OF GLOBAL OPTIMIZATION;2.207
Journal of Simulation;2.205
COMPUTATIONAL OPTIMIZATION AND APPLICATIONS;2.167
Top;2.167
OPTIMIZATION METHODS & SOFTWARE;2.152
MATHEMATICS OF OPERATIONS RESEARCH;2.008
Proceedings of the Institution of Mechanical Engineers Part O-Journal of Risk and Reliability;1.891
JOURNAL OF SCHEDULING;1.802
Journal of Industrial and Management Optimization;1.801
Optimization Letters;1.769
INTERNATIONAL JOURNAL OF TECHNOLOGY MANAGEMENT;1.667
OR SPECTRUM;1.652
Studies in Informatics and Control;1.649
INFOR;1.588
4OR-A Quarterly Journal of Operations Research;1.545
NAVAL RESEARCH LOGISTICS;1.494
Systems Engineering;1.449
INTERFACES;1.434
RAIRO-OPERATIONS RESEARCH;1.393
European Journal of Industrial Engineering;1.371
MATHEMATICAL METHODS OF OPERATIONS RESEARCH;1.343
APPLIED STOCHASTIC MODELS IN BUSINESS AND INDUSTRY;1.338
PROBABILITY IN THE ENGINEERING AND INFORMATIONAL SCIENCES;1.269
Discrete Optimization;1.222
QUEUEING SYSTEMS;1.216
IMA Journal of Management Mathematics;1.186
Journal of Systems Engineering and Electronics;1.186
SORT-Statistics and Operations Research Transactions;1.185
Journal of Systems Science and Systems Engineering;1.167
OPERATIONS RESEARCH LETTERS;1.154
ASIA-PACIFIC JOURNAL OF OPERATIONAL RESEARCH;1.109
CONCURRENT ENGINEERING-RESEARCH AND APPLICATIONS;1.038
DISCRETE EVENT DYNAMIC SYSTEMS-THEORY AND APPLICATIONS;0.976
ENGINEERING ECONOMIST;0.861
Pacific Journal of Optimization;0.782
MILITARY OPERATIONS RESEARCH;0.296
INFORMATICA;2.688
Journal of the Association for Information Science and Technology;2.687
GEOINFORMATICA;2.684
JOURNAL OF VISUAL COMMUNICATION AND IMAGE REPRESENTATION;2.678
IT Professional;2.626
WIRELESS NETWORKS;2.602
JOURNAL OF ORGANIZATIONAL COMPUTING AND ELECTRONIC COMMERCE;2.571
IEEE TRANSACTIONS ON INFORMATION THEORY;2.501
Electronics;2.397
ACM Transactions on Computer-Human Interaction;2.351
WIRELESS COMMUNICATIONS & MOBILE COMPUTING;2.336
ONLINE INFORMATION REVIEW;2.325
