issn;impact_factor
TECHNOVATION;5.729
EXPERT SYST APPL;5.452
OMEGA-INT J MANAGE S;5.324
INT J PROD ECON;5.134
J MANUF SYST;5.105
RELIAB ENG SYST SAFE;5.04
TRANSPORT RES B-METH;4.796
DECIS SUPPORT SYST;4.721
TRANSPORT RES E-LOG;4.69
J OPER MANAG;4.673
INT J PROD RES;4.577
FUZZY OPTIM DECIS MA;4.319
M&SOM-MANUF SERV OP;4.281
EUR J OPER RES;4.213
SOCIO-ECON PLAN SCI;4.149
SAFETY SCI;4.105
IEEE SYST J;3.987
MANAGE SCI;3.935
MEMET COMPUT;3.86
PROD PLAN CONTROL;3.605
COMPUT OPER RES;3.424
TRANSPORT SCI;3.384
INT T OPER RES;2.987
INT J COMPUT INTEG M;2.861
MATH PROGRAM;2.823
SYST CONTROL LETT;2.762
NETWORKS;2.602
PROD OPER MANAG;2.59
ANN OPER RES;2.583
OPER RES;2.43
NETW SPAT ECON;2.379
FLEX SERV MANUF J;2.368
QUAL TECHNOL QUANT M;2.231
J OPER RES SOC;2.175
ENG OPTIMIZ;2.165
INT J SYST SCI;2.149
STUD INFORM CONTROL;2.102
J QUAL TECHNOL;2.019
CENT EUR J OPER RES;2
INT J INF TECH DECIS;1.894
OPTIM ENG;1.829
J GLOBAL OPTIM;1.805
MATH OPER RES;1.783
J SCHEDULING;1.765
OPER RES-GER;1.759
COMPUT OPTIM APPL;1.743
QUAL RELIAB ENG INT;1.718
P I MECH ENG O-J RIS;1.602
IISE TRANS;1.579
INFORMS J COMPUT;1.541
IMA J MANAG MATH;1.529
OPTIMIZATION;1.52
OPTIM LETT;1.502
TOP;1.452
OPTIM METHOD SOFTW;1.431
J OPTIMIZ THEORY APP;1.388
J IND MANAG OPTIM;1.366
INT J TECHNOL MANAGE;1.348
J SYST SCI SYST ENG;1.28
OR SPECTRUM;1.274
OPTIM CONTR APPL MET;1.252
J SIMUL;1.214
APPL STOCH MODEL BUS;1.175
4OR-Q J OPER RES;1.143
EUR J IND ENG;1.136
QUEUEING SYST;1.114
RAIRO-OPER RES;1.025
MATH METHOD OPER RES;1
SYSTEMS ENG;1
ENG ECON;0.972
INFOR;0.972
DISCRETE EVENT DYN S;0.932
J SYST ENG ELECTRON;0.907
CONCURRENT ENG-RES A;0.849
DISCRETE OPTIM;0.824
PROBAB ENG INFORM SC;0.794
SORT-STAT OPER RES T;0.778
INTERFACES;0.775
ASIA PAC J OPER RES;0.757
OPER RES LETT;0.757
NAV RES LOG;0.704
PAC J OPTIM;0.675
MIL OPER RES;0.083
J NETW SYST MANAG;2.25
J WEB SEMANT;2.238
ASLIB J INFORM MANAG;2.222
INFORM RETRIEVAL J;2.209
INT J CRIT INFR PROT;2.164
ENTERP INF SYST-UK;2.145
J GRID COMPUT;2.095
INT J COMPUT COMMUN;2.093
IEEE SECUR PRIV;2.04
ACM T KNOWL DISCOV D;2.01
PERS UBIQUIT COMPUT;2
ACM T PRIV SECUR;1.974
ACM SIGCOMM COMP COM;1.951
REQUIR ENG;1.933
INT J COOP INF SYST;1.929
INT J INF TECH DECIS;1.894
J ORGAN END USER COM;1.882
WIREL COMMUN MOB COM;1.819
J INTELL INF SYST;1.813
ONLINE INFORM REV;1.805
ACM T AUTON ADAP SYS;1.775
GEOINFORMATICA;1.774
PHOTONIC NETW COMMUN;1.75
INT J SEMANT WEB INF;1.742
DIGIT INVEST;1.736
J COMMUN NETW-S KOR;1.733
J ACM;1.686
FRONT INFORM TECH EL;1.604
ACM T INTERNET TECHN;1.598
J AMB INTEL SMART EN;1.595
J COMPUT INFORM SYST;1.582
METHOD INFORM MED;1.574
MULTIMEDIA SYST;1.563
INFORM SYST MANAGE;1.556
MOB INF SYST;1.508
INT J INF SECUR;1.494
DATA KNOWL ENG;1.476
INT J SENS NETW;1.428
INT J NETW MANAG;1.338
TSINGHUA SCI TECHNOL;1.328
SECUR COMMUN NETW;1.288
FRONT COMPUT SCI-CHI;1.275
IBM J RES DEV;1.266
PROGRAM-ELECTRON LIB;1.24
ACM T WEB;1.157
INT J DISTRIB SENS N;1.151
J ORG COMP ELECT COM;1.15
J DATABASE MANAGE;1.138
COMPUT J;1.077
IET INFORM SECUR;1.068
J SIGNAL PROCESS SYS;1.013
INFOR;0.972
COMPUT SCI INF SYST;0.927
INF TECHNOL CONTROL;0.905
ACTA INFORM;0.9
NEW REV HYPERMEDIA M;0.889
INT J WEB SERV RES;0.868
APPL ONTOL;0.852
AD HOC SENS WIREL NE;0.851
INFORM TECHNOL LIBR;0.811
J INTERNET TECHNOL;0.786
IEEE LAT AM T;0.782
DISTRIB PARALLEL DAT;0.757
INT J AD HOC UBIQ CO;0.714
SIGMOD REC;0.711
DATA TECHNOL APPL;0.704
INFORM PROCESS LETT;0.677
KSII T INTERNET INF;0.648
J INF SCI ENG;0.541
INT ARAB J INF TECHN;0.467
IEICE T INF SYST;0.449
IEICE T FUND ELECTR;0.334
BELL LABS TECH J;0
