"","Stability_max_k","Quality_max_k","Global_optimal_k"
"ANOnto","3","3","3"
"AROnto","4","9","4"
"CBOOnto","7","3","3"
"CBOOnto2","7","3","3"
"CROnto","3","3","3"
"DITOnto","3","15","3"
"INROnto","9","3","3"
"LCOMOnto","4","8","8"
"NACOnto","4","3","3"
"NOCOnto","3","3","3"
"NOMOnto","6","3","3"
"POnto","3","4","3"
"PROnto","3","12","3"
"RFCOnto","4","3","3"
"RROnto","3","12","3"
"TMOnto","3","3","3"
"TMOnto2","3","10","10"
"WMCOnto","3","3","3"
"WMCOnto2","3","3","3"
